GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sandwich-shop-manager,it.unipd.tos.model,MenuItem.ItemType,34,0,0,0,2,0,1,0,1,0
sandwich-shop-manager,it.unipd.tos.model,TakeAwayBillException,4,0,0,0,2,0,1,0,1,0
sandwich-shop-manager,it.unipd.tos.model,TakeAwayBillImplementation,95,0,18,0,26,0,11,0,2,0
sandwich-shop-manager,it.unipd.tos.model,MenuItem,20,0,0,0,7,0,3,0,3,0
